,,Unnamed: 0,Unnamed: 0.1,Title,Year,Theaters,Country,Genre,Rated,Runtime,Open,Director,Actors,Language,imdbRating,Total Gross,last year_totalgross,genre_gross,count_num
2474,2526,3776,6080,Meet the Mormons,2014,333,USA,Documentary,Rated,78,2014-10-10,Blair Treu,"['Jermaine Sullivan', ' Ken Niumatalolo', ' Carolina Muñoz Marin']",English,7.0,6047363.0,10893180888.0,49307450.0,56
2475,2527,3778,6082,Meet the Patels,2014,101,USA,Documentary,Rated,88,2015-09-11,Geeta Patel,"['Ravi Patel', ' Geeta Patel', ' Champa V. Patel']",English,7.2,1700681.0,10354970864.0,88392417.0,47
2476,2528,3779,6083,Meet the Robinsons,2007,3435,USA,Animation,Rated,95,2007-03-30,Stephen J. Anderson,"['Angela Bassett', ' Daniel Hansen', ' Jordan Fry']",English,6.9,97822171.0,9190502983.0,,14
2477,2529,3780,6084,Meet the Spartans,2008,2643,USA,Comedy,Rated,86,2008-01-25,Jason Friedberg,"['Sean Maguire', ' Carmen Electra', ' Ken Davitian']",English,2.7,38233676.0,9767268194.0,1427703732.0,16
2478,2530,3781,6086,Meeting Evil,2012,1,USA,Crime,Rated,89,2012-05-04,Chris Fisher,"['Luke Wilson', ' Samuel L. Jackson', ' Leslie Bibb']",English,5.3,525.0,10187347362.0,,34
2479,2531,3782,6087,Meeting Resistance,2007,2,USA,Documentary,Rated,84,2007-10-19,Molly Bingham,['nan'],Arabic,7.7,20616.0,9190502983.0,102279769.0,31
2480,2532,3783,6091,Megamind,2010,3949,USA,Animation,Rated,95,2010-11-05,Tom McGrath,"['Will Ferrell', ' Brad Pitt', ' Tina Fey']",English,7.3,148415853.0,10639535233.0,,26
2481,2533,3784,6092,Megan Leavey,2017,1956,USA,Biography,Rated,116,2017-06-09,Gabriela Cowperthwaite,"['Kate Mara', ' Tom Felton', ' Edie Falco']",English,7.1,13406883.0,11216236720.0,,46
2482,2534,3785,6093,Mekong Hotel,2012,3,Thailand,Drama,Rated,61,2016-03-04,Apichatpong Weerasethakul,['nan'],Thai,6.1,2502.0,11149116327.0,2060252692.0,42
2483,2535,3787,6095,Melancholia,2011,145,Denmark,Drama,Rated,135,2011-11-11,Lars von Trier,"['Kirsten Dunst', ' Charlotte Gainsbourg', ' Alexander Skarsgård']",English,7.1,3030848.0,10589599184.0,1687447132.0,28
2484,2536,3789,6097,A Melody to Remember,2016,13,South Korea,Action,Rated,124,2016-01-29,Han Lee,"['Si-wan Yim', ' Ah-sung Ko', ' Hee-joon Lee']",Korean,6.9,44263.0,11149116327.0,2953177273.0,26
2485,2537,3792,6101,Memoir of a Murderer,2017,8,South Korea,Action,Rated,118,2017-09-08,Shin-yeon Won,"['Kyoung-gu Sul', ' Nam-gil Kim', ' Seol-Hyun Kim']",Korean,6.9,91335.0,11216236720.0,2297451379.0,47
2486,2538,3794,6104,Memoria,2015,6,USA,Biography,Rated,70,2016-04-08,Vladimir de Fontenay,"['Sam Dillon', ' Thomas Mann', ' James Franco']",English,5.0,2242.0,11149116327.0,,51
2487,2539,3796,6107,Memories of the Sword,2015,22,South Korea,Action,Unrated,120,2015-08-28,Heung-sik Park,"['Byung-hun Lee', ' Su-an Kim', ' Go-eun Kim']",Korean,6.3,111071.0,10354970864.0,2268082751.0,34
2488,2540,3800,6111,Memphis,2013,5,USA,Drama,Rated,75,2014-09-05,Tim Sutton,"['Willis Earl Beal', ' Constance Brantley', ' Larry Dodson']",English,5.5,21286.0,10893180888.0,1338281892.0,46
2489,2541,3801,6113,Men & Chicken,2015,11,Denmark,Comedy,Unrated,104,2016-04-22,Anders Thomas Jensen,"['David Dencik', ' Mads Mikkelsen', ' Nikolaj Lie Kaas']",Danish,6.7,30207.0,11149116327.0,1321791183.0,51
2490,2542,3802,6114,Men at Lunch,2012,1,Ireland,Documentary,Rated,75,2013-09-20,Seán Ó Cualáin,"['Fionnula Flanagan', ' Peter Quinn', ' Ric Burns']",English,6.3,2483.0,11041914748.0,131885122.0,51
2491,2543,3803,6117,Men Go to Battle,2015,3,USA,Comedy,Rated,98,2016-07-08,Zachary Treitz,"['Charlotte Arnold', ' Steve Coulter', ' Samantha Jacober']",English,5.4,18006.0,11149116327.0,1321791183.0,42
2492,2544,3806,6122,The Men Who Stare at Goats,2009,2453,USA,Comedy,Rated,94,2009-11-06,Grant Heslov,"['George Clooney', ' Ewan McGregor', ' Jeff Bridges']",English,6.2,32428195.0,9750709587.0,2099450726.0,29
2493,2545,3808,6126,"Men, Women & Children",2014,608,USA,Comedy,Rated,119,2014-10-01,Jason Reitman,"['Adam Sandler', ' Jennifer Garner', ' Rosemarie DeWitt']",English,6.7,705908.0,10893180888.0,1619719448.0,56
2494,2546,3810,6129,Menashe,2017,126,USA,Drama,Rated,82,2017-07-28,Joshua Z Weinstein,"['Menashe Lustig', ' Yoel Falkowitz', ' Ruben Niborski']",Yiddish,6.4,1703036.0,11216236720.0,1339173437.0,28
2495,2547,3811,6130,Mental,2012,12,USA,Comedy,Unrated,116,2013-03-29,P.J. Hogan,"['Rebecca Gibney', ' Hayley Magnus', ' Nicole Freeman']",English,6.2,17669.0,11041914748.0,1050654625.0,41
2496,2548,3812,6131,Mera Pind: My Home,2008,19,India,Comedy,Rated,165,2008-09-05,Manmohan Singh,"['Harbhajan Mann', ' Navjot Singh Sidhu', ' Kimi Verma']",Panjabi,6.4,176976.0,9767268194.0,1427703732.0,30
2497,2549,3813,6132,Mercedes Sosa: The Voice of Latin America,2013,1,Argentina,Documentary,Rated,90,2014-01-24,Rodrigo H. Vila,"['Chico Buarque', ' Elba Bustelo', ' David Byrne']",Spanish,7.4,2648.0,10893180888.0,49307450.0,32
2498,2550,3814,6133,Merchants of Doubt,2014,30,USA,Documentary,Rated,96,2015-03-06,Robert Kenner,"['Jamy Ian Swiss', ' Stanton A. Glantz', ' Sam Roe']",English,7.7,308156.0,10354970864.0,88392417.0,33
2499,2551,3816,6136,Mercy,2014,0,USA,Horror,Rated,79,1996-11-01,Peter Cornwell,"[""Frances O'Connor"", ' Shirley Knight', ' Chandler Riggs']",English,5.0,2967.0,,,2
2500,2552,3818,6138,Mere Brother Ki Dulhan,2011,74,India,Comedy,Unrated,139,2011-09-09,Ali Abbas Zafar,"['Imran Khan', ' Katrina Kaif', ' Ali Zafar']",Hindi,5.8,496172.0,10589599184.0,1376087969.0,43
2501,2553,3819,6139,Meri Pyaari Bindu,2017,0,India,Comedy,Rated,117,2017-05-12,Akshay Roy,"['Ayushmann Khurrana', ' Parineeti Chopra', ' June Malia']",Hindi,5.6,0.0,11216236720.0,1302997778.0,33
2502,2554,3820,6142,The Merry Gentleman,2008,33,USA,Crime,Rated,110,2009-05-01,Michael Keaton,"['Michael Keaton', ' Kelly Macdonald', ' Tom Bastounes']",English,6.6,347977.0,9750709587.0,,27
2503,2556,3822,6144,Meru,2015,176,USA,Documentary,Rated,90,2015-08-14,Jimmy Chin,"['Conrad Anker', ' Grace Chin', ' Jimmy Chin']",English,7.7,2334228.0,10354970864.0,88392417.0,34
2504,2557,3823,6145,Meskada,2010,1,USA,Crime,Rated,98,2010-12-03,Josh Sternfeld,"['Nick Stahl', ' Rachel Nichols', ' Kellan Lutz']",English,5.3,0.0,10639535233.0,,19
2505,2558,3825,6148,The Messenger,2009,50,USA,Drama,Rated,113,2009-11-13,Oren Moverman,"['Ben Foster', ' Jena Malone', ' Eamonn Walker']",English,7.1,1109660.0,9750709587.0,1089198448.0,29
2506,2559,3826,6151,The Messengers,2007,2529,USA,Horror,Rated,90,2007-02-02,Danny Pang,"['Kristen Stewart', ' Dylan McDermott', ' Penelope Ann Miller']",English,5.4,35374833.0,9190502983.0,553237666.0,10
2507,2560,3827,6152,Metallica Through the Never,2013,589,USA,Music,Rated,93,2013-09-27,Nimród Antal,"['Dane DeHaan', ' James Hetfield', ' Lars Ulrich']",English,7.2,3419967.0,11041914748.0,,51
2508,2561,3830,6163,Over Her Dead Body,2008,1977,USA,Comedy,Rated,95,2008-02-01,Jeff Lowell,"['Eva Longoria', ' Paul Rudd', ' Lake Bell']",English,5.2,7563670.0,9767268194.0,1427703732.0,31
2509,2562,3832,6167,Over Your Cities Grass Will Grow,2010,3,France,Documentary,Rated,105,2011-08-10,Sophie Fiennes,"['Anselm Kiefer', ' Klaus Dermutz']",French,6.9,51301.0,10589599184.0,93825307.0,38
2510,2563,3833,6169,Overdrive,2017,20,France,Action,Rated,93,2017-10-06,Antonio Negret,"['Ana de Armas', ' Scott Eastwood', ' Gaia Weiss']",English,5.3,7793.0,11216236720.0,2297451379.0,47
2511,2564,3834,6172,The Overnight,2015,307,USA,Comedy,Rated,79,2015-06-19,Patrick Brice,"['Adam Scott', ' Taylor Schilling', ' RJ Hermes']",English,6.1,1110522.0,10354970864.0,1272411206.0,40
2512,2565,3836,6174,The Overnighters,2014,23,USA,Documentary,Rated,102,2014-10-10,Jesse Moss,"['Keegan Edwards', ' Jay Reinke']",English,7.5,110763.0,10893180888.0,49307450.0,56
2513,2566,3837,6175,An Oversimplification of Her Beauty,2012,4,USA,Animation,Rated,84,2013-04-26,Terence Nance,"['Alisa Becher', ' Jc Cain', ' Dexter Jones']",English,6.2,71906.0,11041914748.0,,37
2514,2567,3839,6177,Owl and the Sparrow,2007,4,Vietnam,Drama,Rated,97,2009-01-16,Stephane Gauger,"['Cat Ly', ' The Lu Le', ' Han Thi Pham']",Vietnamese,7.5,47071.0,9750709587.0,1089198448.0,18
2515,2568,3841,6179,The Ox,2013,2,USA,Documentary,Rated,0,1992-08-21,Ben Proudfoot,['nan'],English,8.6,14513.0,,,2
2516,2569,3842,6181,The Oxford Murders,2008,2,Spain,Crime,Rated,104,2010-08-06,Álex de la Iglesia,"['Elijah Wood', ' John Hurt', ' Leonor Watling']",English,6.1,4803.0,10639535233.0,,26
2517,2570,3843,6183,Oy Vey! My Son Is Gay!!,2009,5,USA,Comedy,Rated,90,2010-12-24,Evgeny Afineevsky,"['Lainie Kazan', ' Saul Rubinek', ' Vincent Pastore']",English,5.0,89507.0,10639535233.0,1435263724.0,19
2518,2571,3844,6185,Oz the Great and Powerful,2013,3912,USA,Adventure,Rated,130,2013-03-08,Sam Raimi,"['James Franco', ' Mila Kunis', ' Rachel Weisz']",English,6.3,234911825.0,11041914748.0,3299119819.0,41
2519,2572,3845,6187,Dhamaal,2007,39,India,Action,Rated,136,2007-09-07,Indra Kumar,"['Sanjay Dutt', ' Riteish Deshmukh', ' Arshad Warsi']",Hindi,7.1,166339.0,9190502983.0,1007869230.0,26
2520,2573,3846,6188,The Dhamma Brothers,2008,3,USA,Documentary,Rated,76,2008-04-11,Andrew Kukura,"['Grady Bankhead', ' Ron Cavanaugh', ' Jonathan Crowley']",English,7.5,40492.0,9767268194.0,70723219.0,34
2521,2574,3847,6189,Dheepan,2015,26,France,Crime,Rated,115,2016-05-06,Jacques Audiard,"['Jesuthasan Antonythasan', ' Kalieaswari Srinivasan', ' Claudine Vinasithamby']",Tamil,7.2,248392.0,11149116327.0,,32
2522,2575,3850,6192,Dhoom 3,2013,239,India,Action,Unrated,172,2013-12-20,Vijay Krishna Acharya,"['Aamir Khan', ' Abhishek Bachchan', ' Katrina Kaif']",Hindi,5.4,8031955.0,11041914748.0,2219810902.0,27
2523,2576,3851,6193,Dhoondte Reh Jaoge,2009,10,India,Comedy,Rated,131,2009-03-06,Umesh Shukla,"['Paresh Rawal', ' Kunal Khemu', ' Sonu Sood']",Hindi,5.6,5127.0,9750709587.0,2099450726.0,27
2524,2578,3854,6202,Diana,2013,100,UK,Biography,Rated,113,2013-11-01,Oliver Hirschbiegel,"['Naomi Watts', ' Cas Anvar', ' Charles Edwards']",English,5.5,335359.0,11041914748.0,,42
2525,2579,3855,6203,Diana Vreeland: The Eye Has to Travel,2011,27,USA,Documentary,Rated,86,2012-09-21,Lisa Immordino Vreeland,"['Diana Vreeland', ' Richard Avedon', ' David Bailey']",English,7.5,1017579.0,10187347362.0,82817592.0,43
2526,2580,3856,6206,The Diary of a Teenage Girl,2015,795,USA,Drama,Rated,102,2015-08-07,Marielle Heller,"['Bel Powley', ' Willie', ' Kristen Wiig']",English,6.9,1477002.0,10354970864.0,1679582816.0,34
2527,2581,3857,6207,Diary of a Wimpy Kid,2010,3083,USA,Comedy,Rated,94,2010-03-19,Thor Freudenthal,"['Zachary Gordon', ' Robert Capron', ' Rachael Harris']",English,6.2,64003625.0,10639535233.0,1435263724.0,26
2528,2582,3858,6208,Diary of a Wimpy Kid: Dog Days,2012,3401,USA,Comedy,Rated,94,2012-08-03,David Bowers,"['Zachary Gordon', ' Steve Zahn', ' Robert Capron']",English,6.3,49008662.0,10187347362.0,1490816438.0,46
2529,2583,3859,6209,Diary of a Wimpy Kid: Rodrick Rules,2011,3169,USA,Comedy,Rated,99,2011-03-25,David Bowers,"['Zachary Gordon', ' Devon Bostick', ' Rachael Harris']",English,6.6,52698535.0,10589599184.0,1376087969.0,30
2530,2584,3860,6210,Diary of a Wimpy Kid: The Long Haul,2017,3174,USA,Comedy,Rated,91,2017-05-19,David Bowers,"['Jason Drucker', ' Alicia Silverstone', ' Tom Everett Scott']",English,4.2,20738724.0,11216236720.0,1302997778.0,33
2531,2585,3862,6215,The Dictator,2012,3014,USA,Comedy,Rated,83,2012-05-16,Larry Charles,"['Sacha Baron Cohen', ' Sayed Badreya', ' Rocky Citron']",English,6.4,59650222.0,10187347362.0,1490816438.0,34
2532,2586,3863,6216,Dictator,2016,19,India,Action,Rated,155,2016-01-13,Sriwass,"['Nandamuri Bala Krishna', ' Anjali', ' Sonal Chauhan']",Telugu,4.5,104734.0,11149116327.0,2953177273.0,26
2533,2587,3864,6217,Did You Hear About the Morgans?,2009,2718,USA,Comedy,Rated,103,2009-12-18,Marc Lawrence,"['Hugh Grant', ' Sarah Jessica Parker', ' Natalia Klimas']",English,4.8,29580087.0,9750709587.0,2099450726.0,23
2534,2588,3867,6222,A Different American Dream,2016,1,France,Documentary,Rated,84,2017-01-06,Simon Brook,['nan'],English,7.6,1172.0,11216236720.0,50850748.0,33
2535,2589,3868,6224,Difret,2014,4,Ethiopia,Biography,Unrated,99,2015-10-23,Zeresenay Mehari,"['Meron Getnet', ' Tizita Hagere', ' Abel Abebe']",Amharic,6.8,49667.0,10354970864.0,,53
2536,2590,3871,6227,Digging for Fire,2015,30,USA,Drama,Rated,85,2015-08-21,Joe Swanberg,"['Jake Johnson', ' Rosemarie DeWitt', ' Jude Swanberg']",English,5.9,119364.0,10354970864.0,1679582816.0,34
2537,2591,3872,6229,Digging Up the Marrow,2014,1,USA,Biography,Unrated,89,2015-02-12,Adam Green,"['Ray Wise', ' Adam Green', ' Will Barratt']",English,5.8,10969.0,10354970864.0,,31
2538,2592,3873,6231,Digimon Adventure Tri. 2: Decision,2016,457,Japan,Animation,Rated,0,2016-09-15,Keitarô Motonaga,"['Miho Arakawa', ' John Eric Bentley', ' Johnny Yong Bosch']",Japanese,7.9,190581.0,11149116327.0,,54
2539,2593,3875,6233,Dil Dhadakne Do,2015,238,India,Drama,Rated,170,2015-06-05,Zoya Akhtar,"['Anil Kapoor', ' Shefali Shah', ' Priyanka Chopra']",Hindi,6.8,3066100.0,10354970864.0,1679582816.0,40
2540,2594,3876,6235,The Dilemma,2011,2943,USA,Comedy,Rated,111,2011-01-14,Ron Howard,"['Vince Vaughn', ' Kevin James', ' Jennifer Connelly']",English,5.3,48475290.0,10589599184.0,1376087969.0,23
2541,2595,3877,6237,Dilwale,2015,268,India,Action,Rated,158,2015-12-17,Rohit Shetty,"['Shah Rukh Khan', ' Varun Dhawan', ' Kriti Sanon']",Hindi,5.3,4871263.0,10354970864.0,2268082751.0,34
2542,2596,3878,6238,Diminished Capacity,2008,4,USA,Comedy,Unrated,92,2008-07-04,Terry Kinney,"['Matthew Broderick', ' Virginia Madsen', ' Alan Alda']",English,5.7,21659.0,9767268194.0,1427703732.0,24
2543,2597,3879,6239,Dina,2017,24,USA,Documentary,Rated,103,2017-10-06,Antonio Santini,"['Dina Buno', ' Scott Levin']",English,6.8,83300.0,11216236720.0,50850748.0,47
2544,2598,3880,6241,The Dinner,2017,2,USA,Drama,Rated,120,2015-08-07,Oren Moverman,"['Michael Chernus', ' Taylor Rae Almonte', ' Steve Coogan']",English,4.5,7282.0,10354970864.0,1679582816.0,34
2545,2599,3881,6242,The Dinner,2017,505,USA,Drama,Rated,120,2017-05-05,Oren Moverman,"['Michael Chernus', ' Taylor Rae Almonte', ' Steve Coogan']",English,4.5,1323312.0,11216236720.0,1339173437.0,33
2546,2600,3882,6244,Dinner for Schmucks,2010,3046,USA,Comedy,Rated,114,2010-07-30,Jay Roach,"['Steve Carell', ' Paul Rudd', ' Zach Galifianakis']",English,5.9,73026337.0,10639535233.0,1435263724.0,31
2547,2601,3885,6248,Dior and I,2014,105,France,Documentary,Rated,90,2015-04-10,Frédéric Tcheng,"['Christian Dior', ' Omar Berrada', ' Raf Simons']",French,7.3,1028953.0,10354970864.0,88392417.0,45
2548,2602,3886,6249,Diplomacy,2014,14,France,Drama,Unrated,84,2014-10-15,Volker Schlöndorff,"['André Dussollier', ' Niels Arestrup', ' Burghart Klaußner']",French,7.1,230880.0,10893180888.0,1338281892.0,56
2549,2603,3890,6255,Dirty Girl,2010,10,USA,Comedy,Rated,90,2011-10-07,Abe Sylvia,"['Jeremy Dozier', ' Juno Temple', ' Zach Lasry']",English,6.5,55125.0,10589599184.0,1376087969.0,38
2550,2604,3891,6256,Dirty Grandpa,2016,2912,USA,Comedy,Rated,102,2016-01-22,Dan Mazer,"['Robert De Niro', ' Zac Efron', ' Zoey Deutch']",English,6.0,35593113.0,11149116327.0,1321791183.0,26
2551,2605,3896,6263,Dirty Wars,2013,31,USA,Documentary,Unrated,87,2013-06-07,Rick Rowley,"['Nasser Al Aulaqi', ' Saleha Al Aulaqi', ' Muqbal Al Kazemi']",English,7.5,384473.0,11041914748.0,131885122.0,41
2552,2606,3897,6265,The Disappearance of Alice Creed,2009,12,UK,Crime,Rated,100,2010-08-06,J Blakeson,"['Martin Compston', ' Eddie Marsan', ' Gemma Arterton']",English,6.8,166980.0,10639535233.0,,26
2553,2607,3898,6266,The Disappearance of Eleanor Rigby: Them,2014,139,USA,Drama,Rated,123,2014-09-12,Ned Benson,"['James McAvoy', ' Jessica Chastain', ' Nina Arianda']",English,6.3,587774.0,10893180888.0,1338281892.0,46
2554,2608,3900,6268,The Disappointments Room,2016,1554,USA,Drama,Rated,85,2016-09-09,D.J. Caruso,"['Kate Beckinsale', ' Mel Raido', ' Duncan Joiner']",English,3.9,2423468.0,11149116327.0,2060252692.0,54
2555,2609,3901,6269,The Disaster Artist,2017,0,USA,Biography,Rated,98,2017-12-01,James Franco,"['Alison Brie', ' James Franco', ' Kristen Bell']",English,8.1,0.0,11216236720.0,,22
2556,2610,3902,6270,Disaster Movie,2008,2642,USA,Comedy,Rated,87,2008-08-29,Jason Friedberg,"['Matt Lanter', ' Vanessa Lachey', "" Gary 'G. Thang' Johnson""]",English,1.9,14190901.0,9767268194.0,1427703732.0,34
2557,2611,3904,6273,Disconnect,2012,180,USA,Drama,Rated,115,2013-04-12,Henry Alex Rubin,"['Jason Bateman', ' Hope Davis', ' Frank Grillo']",English,7.6,1436900.0,11041914748.0,1670662348.0,37
2558,2612,3905,6274,The Discoverers,2012,4,USA,Comedy,Rated,104,2014-05-16,Justin Schwarz,"['Griffin Dunne', ' Madeleine Martin', ' Cara Buono']",English,5.6,50020.0,10893180888.0,1619719448.0,41
2559,2613,3906,6275,Disfigured,2008,1,USA,Drama,Rated,96,2008-07-18,Glenn Gers,"['Deidra Edwards', ' Staci Lawrence', ' Ryan C. Benson']",English,6.7,829.0,9767268194.0,1293680617.0,24
2560,2614,3907,6276,Disgrace,2008,9,Australia,Drama,Rated,119,2009-09-18,Steve Jacobs,"['John Malkovich', ' Jessica Haines', ' Eriq Ebouaney']",English,6.6,69705.0,9750709587.0,1089198448.0,32
2561,2615,3909,6278,Dishkiyaoon,2014,11,India,Action,Rated,119,2014-03-28,Sanamjit Singh Talwar,"['Harman Baweja', ' Harsh Chhaya', ' Sunny Deol']",Hindi,5.3,11288.0,10893180888.0,2225063194.0,47
2562,2616,3910,6279,Dishoom,2016,113,India,Action,Rated,124,2016-07-29,Rohit Dhawan,"['John Abraham', ' Varun Dhawan', ' Nargis Fakhri']",Hindi,5.1,812737.0,11149116327.0,2953177273.0,42
2563,2617,3911,6280,Dislecksia: The Movie,2012,1,USA,Documentary,Rated,83,2013-10-04,Harvey Hubbell V,"['Billy Blanks', ' Sarah Brown', ' Stephen J. Cannell']",English,8.3,33066.0,11041914748.0,131885122.0,34
2564,2618,3912,6281,Disobedience,2017,0,USA,Drama,Rated,114,2018-04-27,Sebastián Lelio,"['Rachel McAdams', ' Rachel Weisz', ' Alessandro Nivola']",,7.2,0.0,10971586766.0,1322565868.0,4
2565,2619,3913,6282,Disorder,2015,8,France,Drama,Unrated,98,2016-08-12,Alice Winocour,"['Matthias Schoenaerts', ' Diane Kruger', ' Paul Hamy']",French,6.1,39687.0,11149116327.0,2060252692.0,44
2566,2621,3916,6290,District 9,2009,3180,South Africa,Sci-Fi,Rated,112,2009-08-14,Neill Blomkamp,"['Sharlto Copley', ' Jason Cope', ' Nathalie Boltt']",English,8.0,115646235.0,9750709587.0,,24
2567,2622,3918,6292,District of Corruption,2012,3,USA,Documentary,Rated,70,2012-10-26,Stephen K. Bannon,"['Saul Alinsky', ' Tom Fitton', ' Vern McKinley']",English,6.4,31954.0,10187347362.0,82817592.0,44
2568,2623,3919,6293,Disturbia,2007,3132,USA,Drama,Rated,105,2007-04-13,D.J. Caruso,"['Shia LaBeouf', ' Sarah Roemer', ' Carrie-Anne Moss']",English,6.9,80209692.0,9190502983.0,1566075796.0,17
2569,2624,3920,6295,Disturbing the Peace,2016,2,Israel,Documentary,Unrated,87,2016-11-11,Stephen Apkon,['nan'],English,7.7,25287.0,11149116327.0,65052467.0,35
2570,2625,3922,6298,Divergent,2014,3936,USA,Adventure,Rated,139,2014-03-21,Neil Burger,"['Shailene Woodley', ' Theo James', ' Ashley Judd']",English,6.7,150947895.0,10893180888.0,3400302355.0,47
2571,2626,3924,6300,Divine Access,2015,0,USA,Comedy,Unrated,113,2016-05-13,Steven Chester Prince,"['Patrick Warburton', ' Sarah Shahi', ' Gary Cole']",English,5.7,0.0,11149116327.0,1321791183.0,32
2572,2627,3925,6302,The Divine Move,2014,11,South Korea,Action,Rated,118,2014-07-25,Beom-gu Cho,"['Kil-kang Ahn', ' Sung-Ki Ahn', ' Greg Chun']",Korean,6.7,136707.0,10893180888.0,2225063194.0,28
2573,2628,3926,6303,The Divine Order,2017,0,Switzerland,Drama,Rated,96,2017-10-27,Petra Biondina Volpe,"['Marie Leuenberger', ' Maximilian Simonischek', ' Rachel Braunschweig']",German,7.5,0.0,11216236720.0,1339173437.0,47
2574,2629,3928,6305,The Diving Bell and the Butterfly,2007,213,France,Biography,Rated,112,2007-11-30,Julian Schnabel,"['Mathieu Amalric', ' Emmanuelle Seigner', ' Marie-Josée Croze']",French,8.0,6003227.0,9190502983.0,,27
2575,2630,3931,6313,Widows,2011,0,Argentina,Drama,Rated,100,2018-11-16,Marcos Carnevale,"['Graciela Borges', ' Valeria Bertuccelli', ' Rita Cortese']",Spanish,6.3,0.0,10971586766.0,1322565868.0,2
2576,2631,3932,6315,Wiener-Dog,2016,73,USA,Comedy,Rated,88,2016-06-24,Todd Solondz,"['Keaton Nigel Cooke', ' Tracy Letts', ' Julie Delpy']",English,5.9,470575.0,11149116327.0,1321791183.0,42
2577,2632,3935,6321,Wild Bill,2011,775,UK,Drama,Rated,98,1995-12-01,Dexter Fletcher,"['Charlie Creed-Miles', ' Will Poulter', ' Sammy Williams']",English,7.2,2193982.0,,,1
2578,2633,3936,6323,Wild Canaries,2014,4,USA,Comedy,Unrated,96,2015-02-25,Lawrence Michael Levine,"['Sophia Takal', ' Lawrence Michael Levine', ' Alia Shawkat']",English,6.1,19777.0,10354970864.0,1272411206.0,31
2579,2634,3937,6324,Wild Card,2015,0,USA,Action,Rated,92,2015-01-30,Simon West,"['Jason Statham', ' Michael Angarano', ' Dominik García-Lorido']",English,5.6,0.0,10354970864.0,2268082751.0,33
2580,2636,3939,6326,Wild City,2015,11,Hong Kong,Action,Unrated,120,2015-07-31,Ringo Lam,"['Louis Koo', ' Shawn Yue', ' Liya Tong']",Cantonese,5.7,34866.0,10354970864.0,2268082751.0,35
2581,2637,3940,6328,Wild Grass,2009,23,France,Drama,Rated,104,2010-06-25,Alain Resnais,"['Sabine Azéma', ' André Dussollier', ' Anne Consigny']",French,6.3,403952.0,10639535233.0,1834327761.0,29
2582,2638,3941,6330,Wild Hogs,2007,3401,USA,Action,Rated,100,2007-03-02,Walt Becker,"['Tim Allen', ' John Travolta', ' Martin Lawrence']",English,5.9,168273550.0,9190502983.0,1007869230.0,14
2583,2639,3942,6331,"Wild Horse, Wild Ride",2011,21,USA,Documentary,Rated,106,2012-08-24,Alex Dawson,['nan'],English,7.5,111205.0,10187347362.0,82817592.0,46
2584,2641,3944,6333,The Wild Life,2016,1142,Belgium,Animation,Rated,91,1984-09-28,Vincent Kesteloot,"['Matthias Schweighöfer', ' Kaya Yanar', ' Ilka Bessin']",English,5.3,11020375.0,,,2
2585,2642,3945,6335,Wild Oats,2016,100,USA,Action,Rated,86,2016-09-16,Andy Tennant,"['Shirley MacLaine', ' Jessica Lange', ' Demi Moore']",English,5.6,40598.0,11149116327.0,2953177273.0,54
2586,2643,3947,6342,Wild Tales,2014,122,Argentina,Comedy,Rated,122,2015-02-20,Damián Szifron,"['Darío Grandinetti', ' María Marull', ' Mónica Villa']",Spanish,8.1,3106530.0,10354970864.0,1272411206.0,31
2587,2644,3948,6343,Wild Target,2010,13,UK,Action,Rated,98,2010-10-29,Jonathan Lynn,"['Bill Nighy', ' Emily Blunt', ' Rupert Grint']",English,6.9,108589.0,10639535233.0,2041030428.0,34
2588,2645,3950,6352,The Wilde Wedding,2017,0,USA,Comedy,Rated,95,2017-09-15,Damian Harris,"['Glenn Close', ' John Malkovich', ' Patrick Stewart']",English,4.8,0.0,11216236720.0,1302997778.0,47
2589,2646,3951,6354,The Wildest Dream,2010,21,USA,Documentary,Rated,94,2010-08-06,Anthony Geffen,"['Conrad Anker', ' Susan Robertson', ' Robert Macfarlane']",English,7.3,898137.0,10639535233.0,187290939.0,26
2590,2647,3952,6356,Wildlike,2014,15,USA,Adventure,Unrated,104,2015-09-25,Frank Hall Green,"['Ella Purnell', ' Brian Geraghty', ' Diane Farr']",English,6.7,0.0,10354970864.0,3199663674.0,47
2591,2648,3953,6358,Will You Still Love Me Tomorrow?,2013,3,Taiwan,Comedy,Rated,104,2014-01-17,Arvin Chen,"['Richie Jen', ' Mavis Fan', ' Chin-Hang Shih']",Mandarin,6.7,6694.0,10893180888.0,1619719448.0,32
2592,2649,3956,6361,William Kunstler: Disturbing the Universe,2009,6,USA,Documentary,Unrated,85,2009-11-13,Emily Kunstler,"['Herman Badillo', ' Harry Belafonte', ' Clyde Bellecourt']",English,7.7,46078.0,9750709587.0,87432868.0,29
2593,2650,3957,6362,William S. Burroughs: A Man Within,2010,4,USA,Documentary,Unrated,87,2010-11-17,Yony Leyser,"['Fred Aldrich', ' Laurie Anderson', ' Amiri Baraka']",English,7.2,46380.0,10639535233.0,187290939.0,26
2594,2651,3959,6366,Tom and Jerry: Willy Wonka and the Chocolate Factory,2017,0,USA,Animation,Unrated,79,1971-06-30,Spike Brandt,"['JP Karliak', ' Jess Harnell', ' Lincoln Melcher']",English,4.2,0.0,,,1
